Dual_Plate_ID,i7_Plate_ID,i5_Plate_ID
Dual-045,CZB-TRUSEQ-8-12BP-i7-PLATE-009,CZB-TRUSEQ-8-12BP-i5-PLATE-012
Dual-046,CZB-TRUSEQ-8-12BP-i7-PLATE-010,CZB-TRUSEQ-8-12BP-i5-PLATE-001
Dual-047,CZB-TRUSEQ-8-12BP-i7-PLATE-011,CZB-TRUSEQ-8-12BP-i5-PLATE-002
Dual-048,CZB-TRUSEQ-8-12BP-i7-PLATE-012,CZB-TRUSEQ-8-12BP-i5-PLATE-003
Dual-049,CZB-TRUSEQ-8-12BP-i7-PLATE-001,CZB-TRUSEQ-8-12BP-i5-PLATE-005
Dual-050,CZB-TRUSEQ-8-12BP-i7-PLATE-002,CZB-TRUSEQ-8-12BP-i5-PLATE-006
Dual-051,CZB-TRUSEQ-8-12BP-i7-PLATE-003,CZB-TRUSEQ-8-12BP-i5-PLATE-007
Dual-052,CZB-TRUSEQ-8-12BP-i7-PLATE-004,CZB-TRUSEQ-8-12BP-i5-PLATE-008
Dual-053,CZB-TRUSEQ-8-12BP-i7-PLATE-005,CZB-TRUSEQ-8-12BP-i5-PLATE-009
Dual-054,CZB-TRUSEQ-8-12BP-i7-PLATE-006,CZB-TRUSEQ-8-12BP-i5-PLATE-010
Dual-055,CZB-TRUSEQ-8-12BP-i7-PLATE-007,CZB-TRUSEQ-8-12BP-i5-PLATE-011
Dual-056,CZB-TRUSEQ-8-12BP-i7-PLATE-008,CZB-TRUSEQ-8-12BP-i5-PLATE-012
Dual-057,CZB-TRUSEQ-8-12BP-i7-PLATE-009,CZB-TRUSEQ-8-12BP-i5-PLATE-001
Dual-058,CZB-TRUSEQ-8-12BP-i7-PLATE-010,CZB-TRUSEQ-8-12BP-i5-PLATE-002
Dual-059,CZB-TRUSEQ-8-12BP-i7-PLATE-011,CZB-TRUSEQ-8-12BP-i5-PLATE-003
Dual-060,CZB-TRUSEQ-8-12BP-i7-PLATE-012,CZB-TRUSEQ-8-12BP-i5-PLATE-004
Dual-061,CZB-TRUSEQ-8-12BP-i7-PLATE-001,CZB-TRUSEQ-8-12BP-i5-PLATE-006
Dual-062,CZB-TRUSEQ-8-12BP-i7-PLATE-002,CZB-TRUSEQ-8-12BP-i5-PLATE-007
